GeoFips,GeoName,1999,2000,2001,2002,2003,2004,2005,2006,2007
5133,"Sevier, AR",19599,20084,21420,19773,20471,22262,22500,22060,24141
5135,"Sharp, AR",16762,16761,17848,18053,18786,21179,22201,23154,24662
5137,"Stone, AR",17137,17333,17884,18090,19000,20015,20731,21041,23053
5139,"Union, AR",23996,25558,27050,28916,28010,29567,32767,37165,39037
5141,"Van Buren, AR",17174,17892,19059,19158,19365,20662,21352,22294,22895
5143,"Washington, AR",21414,22217,22546,23417,24284,26521,27781,28913,29490
5145,"White, AR",18526,19244,19985,20544,21882,22996,23770,24952,26725
5147,"Woodruff, AR",17662,18612,19597,18764,22773,22516,21801,22366,24528
5149,"Yell, AR",19371,19854,21232,20906,21650,22953,23584,22796,24696
6001,"Alameda, CA",34777,39231,39426,39169,40084,41584,43125,46390,48053
6003,"Alpine, CA",25334,27775,34084,33998,35329,32962,33888,32656,35691
6005,"Amador, CA",22319,24500,26648,27498,28539,30004,30068,31694,33074
6007,"Butte, CA",21833,23127,24820,25117,25948,27407,28159,29928,31468
6009,"Calaveras, CA",23901,26122,28071,28797,29908,31059,31825,33449,35397
6011,"Colusa, CA",25852,25804,24782,24204,27656,26969,27119,27593,32265
6013,"Contra Costa, CA",40744,45438,46890,46092,47064,49687,52176,56227,58023
6015,"Del Norte, CA",18105,18941,18959,18962,20142,21759,22063,23597,24828
6017,"El Dorado, CA",34784,37379,38548,38905,39696,41480,43101,45511,47035
6019,"Fresno, CA",21690,23048,23563,24691,25935,26993,27699,29247,30430
6021,"Glenn, CA",19084,19705,21521,21736,22636,24563,24976,24650,29317
6023,"Humboldt, CA",22708,23909,25864,26383,27906,29533,29937,31455,31809
6025,"Imperial, CA",19184,19048,20769,23081,23460,23607,24171,25431,26371
6027,"Inyo, CA",25274,25751,30098,30067,31445,34616,36350,38752,40039
6029,"Kern, CA",20457,21410,22422,23165,24013,25022,26084,27357,28950
6031,"Kings, CA",16897,17355,18552,20092,21971,23048,23512,23371,26429
6033,"Lake, CA",22928,23821,24890,25823,26253,26669,26801,28199,29367
6035,"Lassen, CA",17965,18580,19169,20224,21202,21742,22342,23867,25018
6037,"Los Angeles, CA",28805,30080,30919,31440,32756,34609,36825,40105,42104
6039,"Madera, CA",18349,18925,20185,21331,22088,23714,24205,24999,26929
6041,"Marin, CA",63327,70038,73722,71012,71738,76942,80983,87683,89706
6043,"Mariposa, CA",21862,22595,24355,25097,25819,28518,29757,31492,33232
6045,"Mendocino, CA",24167,25357,27937,28356,28854,29756,29986,32048,33868
6047,"Merced, CA",19311,19847,20875,21574,22940,24492,24881,25316,27961
6049,"Modoc, CA",21913,20674,22620,25088,25303,25823,27446,27987,30285
6051,"Mono, CA",24872,26583,30048,31220,34501,36115,38756,37310,37894
6053,"Monterey, CA",29393,31795,31732,31869,33334,34383,35991,39353,40921
6055,"Napa, CA",35405,38503,41048,41080,41136,41623,44064,46401,47853
6057,"Nevada, CA",28347,31596,33951,34019,35252,38037,39303,42466,44485
6059,"Orange, CA",35321,38205,39244,39785,41765,44085,47115,50747,51116
6061,"Placer, CA",35887,37778,40638,40120,41332,43332,44590,46630,47230
6063,"Plumas, CA",24682,25992,28958,29364,30851,33067,33023,35068,35990
6065,"Riverside, CA",23295,24431,25598,25991,26931,27959,29303,30900,31619
6067,"Sacramento, CA",28013,30001,31642,32088,33220,34359,35354,37151,38505
6069,"San Benito, CA",26914,29224,27780,27748,29071,30550,31730,34223,36843
6071,"San Bernardino, CA",21773,22720,23698,24383,25419,26683,27619,28913,29937
6073,"San Diego, CA",31343,33869,34325,35314,37078,39834,41543,43640,44546
6075,"San Francisco, CA",49438,57037,56878,55309,55785,59593,65428,72346,75307
6077,"San Joaquin, CA",23703,25103,26312,26679,27670,28762,29776,31207,32120
6079,"San Luis Obispo, CA",26566,28290,30461,31372,32459,34269,35508,38074,40024
6081,"San Mateo, CA",52681,61297,58652,55166,55929,60132,65014,72215,76054
6083,"Santa Barbara, CA",31181,33631,34013,33680,35314,39372,41540,44828,45790
6085,"Santa Clara, CA",44287,54738,51485,48681,49183,50671,53221,58110,62322
6087,"Santa Cruz, CA",34859,39966,39725,39078,39669,41218,41638,43999,46096
6089,"Shasta, CA",24321,25580,27570,27960,28375,28951,29455,31451,32756
6091,"Sierra, CA",23188,23539,25715,24650,25023,25776,26316,26441,27843
6093,"Siskiyou, CA",21706,23018,24514,25299,25763,27317,27054,29013,30424
6095,"Solano, CA",26278,28400,30278,30948,32091,32948,33997,35814,37491
6097,"Sonoma, CA",32946,36903,38235,38200,38619,38976,40238,43134,44466
6099,"Stanislaus, CA",22826,24260,24921,25455,26217,27790,28456,29456,30929
6101,"Sutter, CA",25291,25959,25588,25952,27000,28488,29022,30988,32877
6103,"Tehama, CA",18402,19428,20759,21641,22303,23469,24716,25478,27274
6105,"Trinity, CA",19755,20520,22247,22663,23193,24071,23052,23356,25242
6107,"Tulare, CA",19675,20014,21658,21886,23167,24961,25671,26078,29193
6109,"Tuolumne, CA",22302,23972,25754,26138,27089,28535,29386,30651,32081
6111,"Ventura, CA",31836,34159,35700,36083,37742,40017,41535,44292,46011
6113,"Yolo, CA",26939,27865,29885,30191,31644,33284,34446,36903,38755
6115,"Yuba, CA",19274,20003,21634,22688,24200,25527,26577,27710,29370
8001,"Adams, CO*",25171,27029,27825,27945,28357,28611,29010,29849,31041
8003,"Alamosa, CO",21276,22335,22882,24474,23472,24452,25561,26093,27659
8005,"Arapahoe, CO",38576,42669,41543,40948,41337,40643,41647,44859,46355
8007,"Archuleta, CO",19213,19911,24756,25348,25344,24743,26847,29326,30899
8009,"Baca, CO",25582,24328,26081,21479,26915,26573,28842,24584,30678
8011,"Bent, CO",18320,19415,21023,19260,20556,20839,21647,20952,23893
8013,"Boulder, CO*",37243,41654,42239,41355,42314,43298,46260,49123,50894
8014,"Broomfield, CO*",(NA),(NA),(NA),41286,41410,43700,47441,53468,58030
8015,"Chaffee, CO",21469,22492,23552,23292,23976,24843,26280,28262,30185
8017,"Cheyenne, CO",34054,28355,32520,25348,34846,33361,35234,31822,47211
8019,"Clear Creek, CO",32581,35797,35937,38401,42283,43619,45227,47146,45411
8021,"Conejos, CO",15515,16100,17671,17665,19445,20145,20598,21127,22208
8023,"Costilla, CO",18655,19034,20665,21572,20630,20245,21666,22383,23376
8025,"Crowley, CO",15096,15933,17525,14770,15570,15130,16969,16214,16592
8027,"Custer, CO",20851,22101,25935,26895,27260,28506,27739,29385,31095
8029,"Delta, CO",20118,21599,21953,22152,22667,23452,25016,26528,29394
8031,"Denver, CO",35734,39281,39809,39829,40502,41661,46111,50481,52034
8033,"Dolores, CO",21257,19990,21191,20106,21673,21217,22906,22578,25381
8035,"Douglas, CO",41525,44375,42943,39027,37779,41490,46670,51297,55041
8037,"Eagle, CO",37031,40102,43704,43223,43992,44911,49081,55877,61441
8039,"Elbert, CO",28372,31640,32855,31583,31746,35099,36798,37524,40551
8041,"El Paso, CO",28724,30780,31172,31329,31962,32712,34234,35397,37015
8043,"Fremont, CO",18259,19375,20536,20323,20831,21354,21818,22467,23806
8045,"Garfield, CO",28319,31103,31862,31245,31498,33436,36657,40738,43850
8047,"Gilpin, CO",33059,35339,43625,43895,41019,39326,48414,47325,43096
8049,"Grand, CO",26601,28834,27901,28164,28890,30842,31844,32841,34528
8051,"Gunnison, CO",22479,23922,26768,26501,28220,29588,31578,33952,35681
8053,"Hinsdale, CO",21932,23070,24088,24858,27531,26863,30233,28418,29654
8055,"Huerfano, CO",17106,17765,19620,20182,20680,22239,23262,25267,27500
8057,"Jackson, CO",18447,20670,21312,24670,25943,26756,31041,33120,35009
8059,"Jefferson, CO*",35090,38615,41724,40816,40974,42587,43283,44866,46115
8061,"Kiowa, CO",34419,30636,34552,25811,32466,29649,30780,26832,43720
8063,"Kit Carson, CO",27654,25262,26347,22712,27836,26279,27747,25076,30829
8065,"Lake, CO",20626,20974,22639,22682,23594,24041,25225,26844,27660
8067,"La Plata, CO",26461,28370,29115,29442,31280,33853,36224,38999,41591
8069,"Larimer, CO",28105,30898,32132,31882,31870,32791,34145,35993,37943
8071,"Las Animas, CO",19800,20712,22175,23038,23080,24694,26104,27704,28864
8073,"Lincoln, CO",18758,18438,19420,18998,20527,21389,22205,21714,25686
8075,"Logan, CO",24134,24197,26327,24901,25769,26194,27719,29597,33722
8077,"Mesa, CO",24275,25644,27347,27642,27964,28753,30604,32906,35657
8079,"Mineral, CO",23418,23460,31778,33268,33809,30219,31339,33441,33737
8081,"Moffat, CO",22222,23345,25107,26332,27813,28002,31059,32737,34938
8083,"Montezuma, CO",22204,22930,23541,23783,24667,25325,27036,28386,30743
8085,"Montrose, CO",21450,22997,24239,24610,25451,26494,28872,29688,31013
8087,"Morgan, CO",22888,22021,24039,23799,24617,25164,26018,26594,27637
8089,"Otero, CO",22027,22993,23765,23548,24525,25056,26591,26697,28183
8091,"Ouray, CO",26292,27078,34288,35088,38141,39217,39338,43599,45974
8093,"Park, CO",27285,29833,30840,29633,29915,30548,31568,32291,32930
8095,"Phillips, CO",23408,25789,27806,23780,26183,25040,25443,24474,31123
8097,"Pitkin, CO",68301,81354,79947,78969,82845,86539,97916,110492,125092
8099,"Prowers, CO",22481,22369,23928,22739,24619,25534,26375,26119,28697
8101,"Pueblo, CO",22563,23714,24282,24657,25343,26023,26536,27375,28946
8103,"Rio Blanco, CO",22785,24773,23901,24847,26238,28560,33577,36386,40416
8105,"Rio Grande, CO",21912,22976,23662,25308,23817,24580,25887,26889,29536
8107,"Routt, CO",33150,34286,45393,47094,45359,45913,47226,49695,50795
8109,"Saguache, CO",18109,17803,17735,19728,16861,19089,21682,21644,24375
8111,"San Juan, CO",25260,25265,31417,34832,32833,27764,31598,37116,43201
8113,"San Miguel, CO",35305,37527,46894,47039,47022,48300,53210,58871,59921
8115,"Sedgwick, CO",27452,24747,27699,24033,27235,29317,29891,27933,38930
8117,"Summit, CO",33395,35904,36902,36286,35918,38118,39891,45732,47378
8119,"Teller, CO",29045,30809,30161,29739,30651,32780,34331,35639,36685
8121,"Washington, CO",26297,21986,23954,20183,24392,24721,25041,23899,28262
8123,"Weld, CO*",24158,25421,26058,24844,25315,27069,28755,30076,32389
8125,"Yuma, CO",26375,26563,32198,30282,31366,33372,37523,37525,39586
9001,"Fairfield, CT",56655,62335,66401,64716,64649,68518,74321,82410,91143
